안녕하세요,Здравствуйте
감사합니다,Спасибо
미안합니다,Извините
이렇게,также
식사를,еда
하늘,небо
계절,сезон
사랑,любовь
기쁨,радость
꿈,сон
행복,счастье
미소,улыбка
파랑색,синий цвет
나비,бабочка
꽃,цветок
강,река
산,гора
해변,пляж
숲,лес
새,птица
식사를,еда
이렇게,также
도물니다,отдельно
잡기가,собравшийся
위해서는,старший
이것만큼,каждый
받으면,возраст
또한,люди
지부로,молодой
나이가,отсутствовать
계산하면,только
이번에는,мойдруг
율을,оплачивать
치고,Pay
경우,начать
떠오르면,становитсяпопулярным
먹은,Такимобразом
한다면,платить
만,причина
한국,этотраз
가격을,есливстречаться
자주,среди
임식을,использовать
사용해,деньги
있지만,культура
한국에서는,будет
이름받은,выбираемый
더,сам
다져가고,хорошоотноситьсяи
아는지,много
사람들,увидеть
먼저,вместе
가장,еда
방식이든,нет
사람들은,человек
내가,делатьи
통해,несколько
놀고,я
다음,восновном
더치처럼,покупать
것만,другдруга
주로,будетплатить
함께,почти
하지,друг
서로,Близкий
네덜란드는,Dutch
그렇게,часто
민국의,привыкать
돈을,пример
사람,Америка
문화,Корея
편을,ответноеотношение
돈을,несколько
번에는,я
거의,впоследнеевремя
만한,Поэтому
경우,еслисобираться
점은,кто
많은,такой
것으로,быть
은행함으로써,можете
이용,Обычно
사람들이,еслиидти
만큼은,рассчитывать
사람들은,Европаи
트기에는,другие
중에,особенно
남지는,niet
그러하기,часто
민국은,привыкать
되는,основном
따라가는,еслисобираться
해야,особенный
그러냐면,съесть
유행하는,получать
개장,раз
가면,Однако
사람들과,вместеслюдьми
가서,вместе
열어보면,несколько
못하고,человек
내가,способ
치면,самый
느낀다면,Одинаковый
하는거야,Корея
